ID,Image,TrialType,Mean,Median
62,2,1,85.0,96.5
62,3,1,96.9,100
62,4,1,87.2,100
62,5,1,87.4,100
63,1,1,51.1,49
63,2,1,57.5,72
63,3,1,85.5,98
63,4,1,47.2,25
63,5,1,56.3,70
64,1,1,50.1,46.5
64,2,1,58.1,60.5
64,3,1,38.1,30.5
64,4,1,38.8,25.5
64,5,1,63.3,63
65,1,1,85.5,99.5
65,2,1,90.7,100
65,3,1,84.9,96
65,4,1,78.5,92
65,5,1,79.3,94
66,1,1,64.2,77
66,2,1,71.1,92
66,3,1,82.9,84
66,4,1,66.8,81
66,5,1,83.8,93
67,1,1,58.6,69
67,2,1,77.4,87
67,3,1,72.7,90
67,4,1,47.1,37
67,5,1,59.3,76
68,1,1,95.5,100
68,2,1,72.4,100
68,3,1,81.9,84.5
68,4,1,91.3,100
68,5,1,89.5,98.5
69,1,1,65.4,73
69,2,1,81.9,87
69,3,1,68.8,82
69,4,1,76.7,88.5
69,5,1,69.4,77.5
70,1,1,80.5,94
70,2,1,42.7,39
70,3,1,36.0,39
70,4,1,47.1,58
70,5,1,52.5,57
71,1,1,88.9,97
71,2,1,83.8,100
71,3,1,85.1,96.5
71,4,1,33.1,24
71,5,1,51.2,70.5
72,1,1,67.1,75
72,2,1,89.0,87
72,3,1,85.3,88
72,4,1,88.9,91
72,5,1,84.3,87
73,1,1,65.9,71
73,2,1,83.9,86
73,3,1,88.2,94
73,4,1,74.3,84
73,5,1,64.3,83
74,1,1,19.3,21
74,2,1,48.3,44
74,3,1,42.6,34
74,4,1,75.4,76
74,5,1,36.8,26
75,1,1,77.3,91
75,2,1,79.6,90
75,3,1,87.8,92.5
75,4,1,90.1,92
75,5,1,65.6,65
76,1,1,64.5,85
76,2,1,59.6,61
76,3,1,70.3,82
76,4,1,79.7,91
76,5,1,47.1,43
77,1,1,65.7,66.5
77,2,1,59.9,61
77,3,1,62.3,62
77,4,1,35.9,30.5
77,5,1,57.5,52.5
78,1,1,87.7,99.5
78,2,1,81.8,98
78,3,1,87.9,100
78,4,1,63.2,81.5
78,5,1,59.9,77
79,1,1,63.8,72
79,2,1,67.6,72
79,3,1,68.8,74
79,4,1,55.6,58
79,5,1,47.8,46
80,1,1,70.1,68
80,2,1,58.9,51.5
80,3,1,68.5,76.5
80,4,1,72.1,81.5
80,5,1,78.6,85
81,1,0,29.3,12
81,2,0,22.5,8
81,3,0,10.5,1
81,4,0,9.6,1
81,5,0,19.6,21
82,1,0,6.5,1
82,2,0,5.4,1
82,3,0,7.9,1
82,4,0,11.1,1
82,5,0,5.4,1
83,1,0,43.4,33
83,2,0,35.4,18
83,3,0,24.0,12
